cluster,weekdayindex,day,hour,time,violationdescription,percent,globalpercent,result,lat_min,long_min,lat_max,long_max
2090,6,Sunday,16,4:00 P,RED ZONE,1.0,0.026525199,37.7,33.998549,-118.473151,33.99877029,-118.4727331
3539,1,Tuesday,16,4:00 P,METER EXP.,0.5,0.076202374,6.56,34.181659,-118.446528,34.181659,-118.446528
6070,6,Sunday,13,1:00 P,PARKED IN PARKWAY,1.0,0.043478261,23.0,34.052414,-118.2865588,34.05289063,-118.2864703
2556,1,Tuesday,14,2:00 P,METER EXP.,0.071428571,0.089319176,0.8,34.14786461,-118.3789772,34.14786461,-118.3789772
5551,3,Thursday,10,10:00 ,RED ZONE,0.5,0.074740484,6.69,34.034631,-118.250497,34.034631,-118.250497
2688,2,Wednesday,10,10:00 ,NO PARK/STREET CLEAN,0.5,0.22484119,2.22,34.02637615,-118.3014733,34.027312,-118.299132
2176,1,Tuesday,13,1:00 P,WHITE ZONE,1.0,0.076086957,13.14,34.05028561,-118.2272213,34.05094272,-118.226185
3925,1,Tuesday,17,5:00 P,18 IN. CURB/2 WAY,1.0,0.033112583,30.2,34.04504328,-118.2355156,34.04504328,-118.2355156
961,4,Friday,11,11:00 ,STOP/STAND PROHIBIT,1.0,0.124293785,8.05,33.98760488,-118.4458733,33.98887856,-118.4454834
6411,1,Tuesday,13,1:00 P,METER EXP.,0.25,0.104309806,2.4,34.0618,-118.290303,34.0618,-118.290303
6313,0,Monday,6,6:00 A,RED ZONE,1.0,0.04048583,24.7,34.05877818,-118.2637538,34.05916648,-118.2630563
61,3,Thursday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.21692563,4.61,34.12004364,-118.2453121,34.12029968,-118.2449754
353,3,Thursday,11,11:00 ,NO PARK/STREET CLEAN,1.0,0.056569618,17.68,34.10383986,-118.249236,34.10622,-118.2478683
4469,5,Saturday,18,6:00 P,METER EXP.,1.0,0.025390625,39.38,34.085413,-118.3618841,34.08553261,-118.36133
